S#,SNAME,SEX,BDATE,HEIGHT,DORM
01034427,何海荣,女,2005-11-17,1.87,东17舍705
01034428,龚成玥,男,2004-10-29,1.86,东19舍833
01034429,谢继威,男,2005-02-27,1.71,东8舍428
01034430,敖冬,男,2003-03-29,1.59,东14舍510
01034431,李光玮,女,2002-01-19,1.6,东8舍226
01034432,马龙,男,2002-05-17,1.75,东9舍127
01034433,卢俊蓉,女,2003-09-19,1.88,东12舍131
01034434,谷子青,女,2003-05-29,1.83,东17舍604
01034435,吕含吟,女,2005-05-10,1.66,东9舍119
01034436,张凡,男,2003-03-02,1.74,东3舍130
01034437,张婷,女,2002-10-11,1.73,东15舍205
01034438,刘洺序,男,2002-03-27,1.67,东1舍702
01034439,胡星,男,2002-11-17,1.61,东20舍629
01034440,文玲燕,女,2003-12-23,1.7,东7舍724
01034441,张天翊,女,2003-08-05,1.8,东19舍910
01034442,唐悦婷,女,2005-03-19,1.66,东6舍214
01034443,戴小强,男,2005-05-01,1.74,东9舍317
01034444,白岸斯,男,2005-03-11,1.67,东4舍332
01034445,范玉玲,女,2003-05-08,1.63,东9舍724
01034446,李楠楠,女,2005-09-04,1.6,东4舍224
01034447,张阳阳,男,2004-06-24,1.81,东14舍412
01034448,江子帆,男,2004-03-07,1.64,东7舍230
01034449,王思方,女,2003-05-19,1.64,东8舍109
01034450,张劭琨,男,2005-03-03,1.76,东5舍702
01034451,李小红,女,2003-12-01,1.68,东13舍128
01034452,王子鸣,男,2004-03-09,1.84,东3舍230
01034453,罗裕程,男,2002-01-14,1.76,东1舍823
01034454,杨娜,女,2005-01-25,1.81,东19舍914
01034455,杨正周,男,2003-03-30,1.86,东18舍424
01034456,张世夷,女,2004-01-26,1.78,东16舍505
01034457,李贺,男,2002-04-12,1.82,东5舍112
01034458,韦娱,女,2003-08-12,1.78,东8舍424
01034459,王长庚,男,2002-09-22,1.81,东17舍801
01034460,李松霖,男,2005-02-11,1.82,东6舍830
01034461,庄滢,女,2004-06-30,1.82,东15舍901
01034462,岑宇阔,男,2003-08-01,1.62,东11舍927
01034463,李竹轩,女,2004-05-30,1.65,东17舍116
01034464,周卓越,男,2003-07-18,1.61,东9舍532
01034465,陈飞扬,男,2004-04-08,1.88,东15舍721
01034466,王均,女,2002-10-20,1.75,东21舍927
01034467,邵率,男,2005-04-06,1.65,东10舍420
01034468,竺佳栋,男,2003-05-25,1.63,东1舍622
01034469,赵婉玉,女,2003-03-15,1.67,东21舍704
01034470,郭敏,女,2003-09-27,1.85,东3舍605
01034471,武洁,女,2003-08-25,1.64,东14舍718
01034472,丁哲章,男,2005-09-27,1.62,东13舍413
01034473,周芯羽,女,2004-11-20,1.75,东9舍432
01034474,李沛雨,女,2003-08-12,1.78,东6舍720
01034475,莫雪骢,男,2005-09-21,1.7,东19舍524
01034476,吴尚,女,2005-12-29,1.61,东13舍224
01034477,陈思竹,女,2003-09-28,1.87,东5舍815
01034478,李卉,女,2004-06-15,1.8,东17舍625
01034479,张蓝冰,男,2003-05-27,1.83,东15舍325
01034480,田少连,女,2002-11-03,1.66,东13舍821
01034481,王雨佳,女,2004-09-22,1.9,东21舍105
01034482,单薇,女,2005-05-04,1.65,东9舍705
01034483,李雅艺,女,2004-09-04,1.59,东11舍712
01034484,王鹤,男,2002-04-04,1.69,东14舍708
01034485,叶雅玲,女,2003-10-07,1.85,东15舍219
01034486,孙倩钰,女,2002-07-22,1.9,东9舍520
01034487,文玲燕,女,2003-10-07,1.82,东21舍508
01034488,贾培培,女,2003-05-03,1.62,东19舍426
01034489,李子沫,女,2002-04-10,1.85,东4舍409
01034490,胡馨铭,女,2005-07-24,1.65,东21舍729
01034491,叶星宏,男,2004-04-20,1.78,东5舍515
01034492,陈天玉,女,2003-05-23,1.58,东20舍215
01034493,王祺,男,2003-06-23,1.67,东12舍212
01034494,李玲,女,2005-05-18,1.77,东10舍209
01034495,赵钰来,女,2003-04-08,1.81,东1舍214
01034496,孙悦天,女,2002-06-26,1.88,东8舍633
01034497,黄颖,女,2003-09-15,1.89,东10舍220
01034498,杨昊霖,男,2003-08-04,1.65,东8舍918
01034499,汪思佳,女,2004-06-14,1.79,东11舍712
01034500,王文达,男,2004-11-28,1.71,东20舍232
01034501,黄瑞杰,男,2003-10-05,1.61,东11舍527
01034502,张兆妍,女,2004-02-21,1.83,东20舍801
01034503,钟一阳,男,2005-03-10,1.8,东2舍419
01034504,王梓存,男,2005-05-13,1.87,东9舍433
01034505,王也文,女,2002-12-30,1.66,东17舍814
01034506,张童童,女,2003-11-15,1.68,东4舍806
01034507,郑钦中,男,2004-06-09,1.63,东20舍924
01034508,程海粟,男,2005-05-01,1.76,东13舍618
01034509,巫峡,女,2002-06-18,1.84,东14舍816
01034510,宋娴芝,女,2004-08-31,1.62,东19舍329
01034511,李东徽,男,2003-04-10,1.74,东12舍603
01034512,王巍子,男,2002-09-16,1.63,东8舍907
01034513,张悠然,女,2002-05-14,1.65,东19舍232
01034514,朱靖秋,女,2004-12-06,1.84,东14舍233
01034515,潘天元,男,2005-03-13,1.7,东1舍515
01034516,何斯诚,女,2005-03-21,1.83,东3舍923
01034517,梁钰,男,2005-04-15,1.58,东5舍526
01034518,雷腾飞,男,2005-06-05,1.73,东14舍907
01034519,李泽群,男,2004-11-11,1.59,东11舍619
01034520,王靖琨,男,2002-09-18,1.84,东9舍711
01034521,蔡文韬,男,2005-02-12,1.74,东6舍901
01034522,孔祥昱,男,2003-02-03,1.75,东18舍130
01034523,钱栋恺,男,2003-03-21,1.63,东20舍511
01034524,惠姣姣,女,2003-01-21,1.65,东17舍632
01034525,陈瀚乔,女,2004-11-09,1.85,东15舍330
01034526,李一庆,男,2003-01-04,1.59,东12舍107
01034527,宁静,女,2005-09-08,1.77,东13舍716
01034528,方睿,女,2005-09-25,1.77,东2舍208
01034529,胥昕,女,2003-06-26,1.67,东13舍906
01034530,王新光,男,2003-01-17,1.88,东5舍633
01034531,单师轩,男,2004-10-22,1.78,东8舍801
01034532,王子昌,男,2005-07-16,1.78,东6舍113
01034533,范夏璐,女,2002-03-18,1.59,东17舍605
01034534,李晓飞,男,2004-08-29,1.65,东5舍713
01034535,周光理,女,2004-03-26,1.72,东8舍925
01034536,侯丽娜,女,2004-12-10,1.76,东2舍622
01034537,占小媛,女,2003-01-19,1.59,东1舍228
01034538,沈阳,男,2004-12-07,1.82,东5舍814
01034539,李明哲,男,2002-08-22,1.67,东8舍525
01034540,郑浩然,女,2003-03-02,1.71,东19舍906
01034541,农绮丽,女,2005-06-11,1.77,东4舍427
01034542,裘天琦,男,2005-02-26,1.66,东12舍325
01034543,刘雅洁,女,2004-12-03,1.76,东10舍917
01034544,马泽绵,女,2004-02-13,1.88,东16舍914
01034545,梁祺乐,女,2004-02-10,1.59,东5舍326
01034546,王佳成,男,2005-08-03,1.59,东17舍905
01034547,张聪聪,女,2002-11-17,1.61,东10舍323
01034548,朱昊东,男,2003-08-07,1.64,东5舍525
01034549,卜尚聪,女,2003-04-24,1.75,东2舍920
01034550,张云喆,男,2005-07-03,1.68,东5舍812
01034551,叶钟天,男,2004-06-23,1.76,东6舍110
01034552,刘若文,男,2002-02-07,1.63,东14舍702
01034553,贾秀峰,男,2005-02-28,1.62,东18舍332
01034554,屈梦侠,女,2005-01-13,1.65,东3舍532
01034555,周凌峰,男,2005-06-06,1.68,东18舍217
01034556,高书,女,2004-03-24,1.62,东8舍324
01034557,辛欣,女,2003-09-07,1.84,东17舍828
01034558,刘鸣章,男,2005-12-24,1.77,东9舍731
01034559,秦旭,女,2004-07-23,1.75,东6舍133
01034560,李沛,女,2003-09-08,1.68,东18舍819
01034561,鲁其璠,男,2005-08-10,1.78,东20舍111
01034562,黄博昊,男,2003-11-04,1.67,东3舍101
01034563,曾晓华,男,2003-01-22,1.61,东4舍820
01034564,张天闻,男,2002-04-19,1.59,东2舍416
01034565,阎述辰,男,2005-05-20,1.75,东2舍327
01034566,詹秀洁,女,2005-11-02,1.8,东7舍412
01034567,单子毓,男,2003-09-27,1.71,东19舍130
01034568,牛畅,男,2004-03-15,1.65,东12舍707
01034569,卞文鑫,男,2005-09-23,1.73,东15舍703
01034570,胡颖,女,2005-01-28,1.82,东5舍130
01034571,许钰梓,女,2002-02-23,1.73,东12舍515
01034572,张剑,女,2004-01-07,1.86,东21舍921
01034573,潘俊陶,男,2005-08-26,1.68,东12舍120
01034574,田金田,男,2003-09-20,1.67,东16舍702
01034575,杨宁,男,2002-07-18,1.88,东21舍130
01034576,刘畅,女,2004-12-17,1.81,东13舍227
01034577,赵乾,男,2003-03-31,1.76,东18舍130
01034578,段旭成,男,2005-10-21,1.65,东19舍112
01034579,孙径舟,男,2003-06-30,1.78,东4舍906
01034580,王鲁宁,女,2004-09-15,1.63,东1舍717
01034581,林航宇,男,2005-03-27,1.82,东19舍320
01034582,肖昌明,男,2004-03-08,1.67,东18舍417
01034583,周思佳,女,2004-05-14,1.72,东6舍329
01034584,范语晨,女,2005-07-08,1.75,东19舍825
01034585,沈鸿,男,2002-10-05,1.65,东10舍831
01034586,李善宇,男,2003-12-08,1.76,东2舍305
01034587,朱亚江,男,2005-11-04,1.88,东19舍422
01034588,朱永兴,男,2005-03-31,1.6,东2舍812
01034589,林怡君,女,2003-10-27,1.8,东17舍414
01034590,朱希,女,2004-03-04,1.78,东1舍122
01034591,胡念泽,男,2002-09-06,1.67,东4舍428
01034592,兰石懿,男,2003-02-19,1.61,东12舍511
01034593,丁长青,男,2005-03-30,1.62,东7舍731
01034594,冯世平,男,2003-08-08,1.82,东12舍922
01034595,任思衡,男,2004-03-18,1.79,东2舍529
01034596,张静,女,2003-12-06,1.61,东15舍316
01034597,张雨涵,女,2004-10-04,1.61,东4舍326
01034598,马嘉莹,女,2002-03-01,1.71,东4舍626
01034599,董钰冰,女,2003-10-20,1.68,东17舍301
01034600,刘莹,女,2005-11-27,1.85,东15舍626
01034601,陈宁,男,2002-04-10,1.84,东17舍119
01034602,李夏云,女,2003-07-30,1.7,东4舍529
01034603,蔡安然,女,2004-01-28,1.76,东2舍118
01034604,梁燕,女,2003-04-29,1.85,东19舍130
01034605,杨良峰,男,2005-02-28,1.72,东13舍233
01034606,白阳,男,2002-04-23,1.88,东7舍512
01034607,沈瑞昌,男,2004-05-18,1.82,东6舍806
01034608,孙径舟,男,2002-05-18,1.64,东19舍404
01034609,王子键,男,2003-07-03,1.8,东4舍315
01034610,巩婕,女,2005-05-13,1.86,东1舍232
01034611,杨雅茹,女,2003-10-28,1.68,东10舍809
01034612,王泽生,男,2002-04-04,1.85,东13舍131
01034613,彭馨玉,女,2003-05-22,1.72,东10舍426
01034614,田国全,女,2002-07-10,1.87,东19舍102
01034615,樊奕唯,女,2005-10-27,1.74,东4舍801
01034616,马伯文,男,2003-04-11,1.87,东9舍912
01034617,张云喆,男,2002-08-26,1.68,东20舍605
01034618,陈显,女,2005-04-16,1.86,东21舍603
01034619,陈嵩昊,男,2004-03-24,1.77,东10舍132
01034620,王振志,男,2002-01-07,1.77,东14舍405
01034621,江云帆,男,2004-02-13,1.75,东12舍504
01034622,彭竞贤,男,2002-04-22,1.64,东2舍205
01034623,吕默,女,2005-11-20,1.82,东19舍612
01034624,孙雨雯,女,2004-10-24,1.62,东19舍715
01034625,田祖尧,男,2003-05-03,1.71,东2舍432
01034626,吴雅静,女,2003-03-02,1.76,东2舍201
01034627,钟守学,男,2005-05-16,1.72,东17舍604
01034628,张汶琳,女,2004-10-02,1.7,东20舍409
01034629,史玮玮,男,2002-09-02,1.82,东13舍722
01034630,李斌,男,2005-09-06,1.64,东20舍405
01034631,刘昌昊,男,2005-09-03,1.63,东10舍311
01034632,陈绍瀚,男,2004-01-24,1.67,东2舍913
01034633,汪融,男,2005-03-13,1.6,东19舍108
01034634,蒲绘竹,女,2004-04-16,1.62,东1舍323
01034635,张松,男,2005-05-26,1.86,东2舍732
01034636,杨琳颖,女,2003-11-01,1.7,东17舍630
01034637,张映迪,女,2005-07-12,1.86,东16舍112
01034638,焦浩洋,男,2004-08-25,1.83,东15舍620
01034639,陈淙靓,男,2004-02-06,1.78,东9舍224
01034640,童依依,女,2003-02-25,1.77,东14舍926
01034641,徐道唐,男,2003-08-05,1.59,东4舍325
01034642,黄诗倪,女,2005-12-27,1.88,东11舍204
01034643,荆硕,女,2002-03-17,1.85,东8舍101
01034644,林芋汐,女,2004-07-23,1.73,东9舍131
01034645,张平,女,2002-12-25,1.63,东6舍304
01034646,张春林,男,2005-11-12,1.72,东15舍431
01034647,孙嘉哲,女,2005-12-03,1.64,东8舍827
01034648,高旻,女,2003-03-19,1.63,东8舍404
01034649,张悠然,女,2002-09-12,1.7,东21舍619
01034650,张云睿,男,2003-03-05,1.75,东14舍529
01034651,吴清玺,男,2004-09-05,1.59,东11舍623
01034652,董书应,男,2003-06-14,1.84,东1舍901
01034653,邝冠南,男,2003-10-25,1.87,东15舍313
01034654,孙闻涛,男,2002-07-27,1.78,东19舍702
01034655,王磊,男,2004-10-15,1.75,东19舍428
01034656,张昊然,男,2002-07-14,1.83,东8舍408
01034657,陈楚凡,男,2003-05-01,1.63,东6舍820
01034658,许嘉琪,女,2002-12-14,1.78,东9舍907
01034659,马思远,女,2005-03-05,1.85,东11舍604
01034660,王驰翔,男,2002-04-08,1.74,东15舍906
01034661,张悠然,女,2002-03-05,1.73,东1舍713
01034662,吴东芳,女,2005-12-26,1.81,东5舍315
01034663,程海粟,男,2003-03-14,1.64,东18舍117
01034664,楚悦晨,女,2002-04-14,1.89,东8舍119
01034665,程雨亭,男,2002-10-14,1.82,东21舍201
01034666,章彤,女,2003-04-25,1.76,东1舍433
01034667,丁同乐,男,2005-03-19,1.76,东15舍802
01034668,刘恒辰,男,2002-12-12,1.59,东12舍233
01034669,刘以明,男,2004-12-18,1.75,东17舍316
01034670,周明山,男,2003-11-03,1.61,东5舍719
01034671,李雪晨,男,2004-04-05,1.84,东11舍817
01034672,王晓雨,女,2005-03-04,1.72,东13舍508
01034673,张一弛,男,2002-03-12,1.63,东11舍527
01034674,何立舟,男,2005-08-21,1.69,东13舍127
01034675,李浩晨,男,2003-03-31,1.89,东5舍505
01034676,王一平,女,2004-10-26,1.61,东4舍323
01034677,李斐琳,女,2004-12-04,1.73,东5舍213
01034678,孙吴润泽,女,2002-06-21,1.84,东3舍727
01034679,吕可欣,女,2005-11-27,1.71,东5舍401
01034680,杜旺伦,男,2003-07-05,1.84,东5舍128
01034681,平静,女,2004-07-23,1.68,东18舍720
01034682,佟元任,男,2005-03-16,1.78,东7舍810
01034683,王翠,女,2002-12-10,1.66,东12舍733
01034684,黄博昊,男,2002-04-06,1.6,东8舍414
01034685,李杨,女,2004-04-07,1.69,东14舍527
01034686,卢麟,男,2002-11-05,1.81,东17舍801
01034687,张耕,男,2003-05-10,1.59,东10舍720
01034688,孙伟,男,2003-09-14,1.79,东13舍802
01034689,郑有楠,男,2004-05-16,1.73,东7舍832
01034690,周国徽,男,2003-08-20,1.8,东16舍326
01034691,苏禾,男,2004-01-30,1.84,东1舍321
01034692,黄志翱,男,2004-04-21,1.83,东5舍726
01034693,后博文,男,2005-06-05,1.63,东4舍523
01034694,丁德军,男,2004-07-02,1.85,东9舍905
01034695,董昱,女,2002-06-11,1.75,东7舍601
01034696,马培艺,女,2003-10-09,1.63,东8舍829
01034697,张洪海娇,女,2004-10-01,1.88,东11舍121
01034698,苗健,男,2002-05-26,1.85,东18舍808
01034699,杨吉,女,2002-07-30,1.77,东18舍518
01034700,李娜,女,2003-11-25,1.89,东21舍724
01034701,李阳,女,2005-01-05,1.67,东5舍516
01034702,吴子涵,男,2004-08-18,1.61,东19舍216
01034703,单金彤,女,2002-04-28,1.67,东1舍908
01034704,明俊岑,女,2002-10-27,1.78,东6舍619
01034705,蔡顺婉,女,2004-08-26,1.73,东11舍625
01034706,吴昕,男,2002-03-21,1.68,东17舍933
01034707,钟一阳,男,2002-03-05,1.69,东15舍830
01034708,吴昊,男,2003-04-19,1.74,东4舍833
01034709,张志华,男,2005-05-06,1.89,东10舍526
01034710,张荻琴,女,2002-01-29,1.58,东17舍805
01034711,王瑶,女,2003-09-03,1.71,东3舍321
01034712,蔡曼琳,女,2004-07-14,1.65,东6舍720
01034713,朱广雪,女,2004-09-03,1.7,东15舍425
01034714,王路遥,女,2002-05-21,1.63,东5舍605
01034715,张赛,女,2002-12-26,1.82,东7舍204
01034716,李琪琪,女,2003-10-22,1.77,东11舍829
01034717,张容荣,女,2002-09-19,1.8,东2舍909
01034718,王远东,男,2005-04-12,1.61,东15舍502
01034719,夏显龙,男,2004-02-20,1.67,东13舍426
01034720,许子禾,女,2003-06-15,1.62,东9舍601
01034721,贾涵予,男,2005-09-02,1.6,东6舍411
01034722,苏昕,女,2002-06-06,1.67,东20舍426
01034723,翟向云,女,2002-05-23,1.73,东2舍805
01034724,练静芳,女,2002-05-03,1.58,东3舍124
01034725,贺勇,男,2002-08-27,1.82,东2舍508
01034726,谢一凡,女,2002-05-24,1.7,东10舍133
01034727,田静雯,女,2002-03-08,1.83,东21舍406
01034728,李莉,女,2005-07-16,1.69,东9舍428
01034729,樊亚澜,女,2002-03-07,1.89,东18舍307
01034730,王君,女,2002-01-24,1.75,东1舍807
01034731,张天琦,女,2003-02-16,1.86,东4舍218
01034732,白松霖,男,2003-05-23,1.59,东13舍606
01034733,李锐,男,2002-09-18,1.77,东18舍408
01034734,沈剑豪,男,2004-02-09,1.76,东2舍322
01034735,崔永哲,男,2004-04-30,1.59,东2舍106
01034736,李兴明,男,2004-10-04,1.63,东9舍514
01034737,任梅,女,2002-03-19,1.84,东4舍222
01034738,龙潜,男,2004-08-18,1.63,东6舍312
01034739,郝健博,男,2002-10-25,1.71,东3舍503
01034740,潘晓瑞,女,2005-07-27,1.8,东13舍725
01034741,蔡熠,男,2003-12-11,1.83,东7舍617
01034742,李佩珊,女,2005-04-20,1.89,东12舍531
01034743,马青杰,男,2005-10-10,1.58,东8舍409
01034744,罗苏明,男,2004-12-11,1.7,东8舍403
01034745,卞若帆,男,2004-05-14,1.69,东15舍625
01034746,沈佳敏,男,2004-05-11,1.68,东8舍608
01034747,赵蕊,女,2004-04-09,1.71,东4舍318
01034748,王溪雨,女,2004-12-09,1.78,东2舍808
01034749,冯依岸,女,2004-06-14,1.61,东12舍707
01034750,韩冰玉,女,2002-06-28,1.9,东3舍615
01034751,章梦瑶,女,2004-08-19,1.67,东1舍122
01034752,宋淑兰,女,2004-06-02,1.89,东21舍714
01034753,魏妩,女,2003-04-18,1.67,东9舍507
01034754,林巧然,女,2003-11-14,1.79,东11舍518
01034755,陈瑶,女,2004-10-17,1.86,东5舍913
01034756,董逸潇,男,2004-02-28,1.6,东6舍316
01034757,林思奕,女,2004-07-01,1.6,东7舍101
01034758,张馨元,女,2004-03-31,1.6,东14舍733
01034759,侯悦,女,2002-05-23,1.85,东4舍207
01034760,张天庸,男,2004-07-17,1.85,东21舍803
01034761,王自强,男,2002-10-04,1.62,东17舍818
01034762,余天瑞,男,2004-03-30,1.74,东12舍905
01034763,朱丹,女,2002-12-24,1.68,东8舍928
01034764,陈舒,女,2004-01-21,1.73,东15舍825
01034765,马越,女,2004-10-27,1.67,东19舍216
01034766,费潘凡,女,2004-03-24,1.61,东9舍613
01034767,李文鑫,男,2002-08-10,1.83,东15舍111
01034768,刘奕含,女,2004-10-14,1.61,东17舍620
01034769,李可儿,女,2003-10-31,1.61,东17舍717
01034770,韩娟,女,2002-03-13,1.61,东12舍103
01034771,郭凡怡,女,2004-04-10,1.8,东8舍109
01034772,白礼晴,女,2002-05-20,1.85,东11舍115
01034773,刘明月,女,2004-01-27,1.87,东14舍213
01034774,史策,男,2005-03-12,1.59,东6舍324
01034775,张云睿,男,2002-04-13,1.76,东19舍402
01034776,李爽,女,2005-07-24,1.78,东9舍213
01034777,陆逢黎,男,2002-05-12,1.66,东8舍313
01034778,陈逸舟,男,2004-03-31,1.73,东7舍624
01034779,马秋琳,女,2004-09-11,1.73,东11舍721
01034780,伊乐,女,2002-08-15,1.64,东12舍101
01034781,付越,女,2004-09-09,1.8,东8舍633
01034782,杨目奕,男,2004-09-11,1.83,东1舍605
01034783,张晶晶,女,2005-07-25,1.82,东2舍331
01034784,成诺,女,2003-05-28,1.8,东13舍415
01034785,郭聪,女,2004-02-04,1.82,东10舍706
01034786,金蕾,女,2005-11-08,1.78,东14舍801
01034787,华文韬,男,2004-05-24,1.7,东4舍419
01034788,丁载宇,男,2002-05-26,1.81,东6舍313
01034789,席玮,女,2002-09-14,1.85,东5舍604
01034790,邓宇昊,男,2005-02-01,1.71,东3舍602
01034791,高一之,女,2005-05-24,1.75,东13舍519
01034792,孙瑞姣,女,2005-03-07,1.85,东3舍509
01034793,刘湘艺,女,2004-07-09,1.88,东2舍728
01034794,袁晓红,女,2004-05-12,1.66,东6舍423
01034795,司捷,女,2003-10-07,1.67,东16舍602
01034796,陈志浩,男,2005-01-01,1.63,东20舍919
01034797,郭幸君,女,2005-02-12,1.82,东17舍524
01034798,郑媖君,女,2005-01-25,1.84,东4舍407
01034799,任昊,男,2005-12-24,1.83,东16舍526
01034800,王晗,女,2005-07-21,1.87,东9舍806
01034801,周梓楠,女,2005-04-25,1.63,东15舍819
01034802,宋敏,女,2002-10-18,1.73,东20舍129
01034803,林诗婧,女,2005-02-10,1.61,东14舍918
01034804,马睿杰,男,2003-03-27,1.58,东1舍529
01034805,张子瑜,男,2002-10-01,1.68,东10舍802
01034806,黄卉怡,女,2003-02-16,1.63,东15舍508
01034807,张云喆,男,2002-03-27,1.59,东10舍630
01034808,符安之,女,2002-01-02,1.71,东13舍932
01034809,关钰麟,男,2003-11-06,1.6,东7舍422
01034810,陈劲松,男,2005-12-07,1.72,东14舍803
01034811,熊俊义,男,2002-10-20,1.64,东15舍817
01034812,赵阳杰,男,2002-04-26,1.74,东4舍902
01034813,孔垂刚,男,2002-08-31,1.69,东13舍813
01034814,杨慧芳,女,2005-03-27,1.79,东1舍920
01034815,汪诗绮,女,2004-01-26,1.85,东13舍215
01034816,张子涵,女,2004-03-17,1.76,东10舍709
01034817,刘雯韬,女,2003-10-20,1.63,东15舍209
01034818,周文轩,男,2002-12-18,1.85,东11舍222
01034819,贾梓淇,女,2004-04-26,1.72,东16舍514
01034820,金朱俊宏,男,2004-04-30,1.86,东10舍909
01034821,孙瑾,女,2003-12-08,1.77,东19舍818
01034822,许杉杉,女,2005-08-13,1.78,东15舍617
01034823,张晓洁,女,2004-06-26,1.89,东9舍208
01034824,魏浩宇,男,2004-01-24,1.61,东13舍728
01034825,黄子芸,女,2005-01-09,1.64,东4舍427
01034826,叶乐欣,女,2005-01-26,1.88,东15舍109
01034827,阮伊帅,女,2002-11-26,1.67,东6舍725
01034828,王庆庆,女,2002-01-11,1.86,东2舍632
01034829,张宇澄,女,2005-05-29,1.78,东21舍426
01034830,尹振宇,男,2002-08-19,1.61,东14舍133
01034831,邱晨阳,女,2004-03-31,1.74,东21舍426
01034832,冯天娇,女,2004-12-05,1.82,东17舍424
01034833,高聖寓,女,2003-09-16,1.77,东17舍233
01034834,李成章,男,2005-03-14,1.85,东8舍108
01034835,叶昊晟,男,2005-11-13,1.84,东13舍621
01034836,陈丹丹,女,2004-10-31,1.89,东6舍108
01034837,徐星宇,男,2005-02-25,1.76,东17舍526
01034838,贾培培,女,2005-01-04,1.72,东3舍723
01034839,温子柠,女,2002-02-28,1.85,东17舍406
01034840,黄雅擎,女,2003-08-07,1.59,东2舍515
01034841,郝亦江,男,2004-12-23,1.61,东10舍529
01034842,储春爱,女,2002-06-17,1.7,东11舍828
01034843,刘瑶,女,2004-09-25,1.73,东11舍333
01034844,陈行知,男,2003-07-05,1.88,东19舍333
01034845,刘力铭,女,2004-04-10,1.86,东7舍303
01034846,胡江岿,男,2004-08-21,1.8,东19舍509
01034847,刘昕宇,男,2003-04-24,1.79,东17舍301
01034848,张宝硕,男,2002-12-03,1.79,东1舍516
01034849,王玥,女,2004-10-27,1.84,东3舍809
01034850,杨文琴,女,2005-10-04,1.9,东3舍322
01034851,黄珈颖,女,2002-10-27,1.87,东7舍233
01034852,张赛,女,2002-09-16,1.6,东14舍306
01034853,谭鉴容,男,2004-04-09,1.68,东14舍329
01034854,黄若谷,男,2005-05-08,1.88,东8舍616
01034855,任天润,男,2004-02-22,1.65,东1舍926
01034856,翟锦鹏,男,2005-02-17,1.85,东1舍621
01034857,保宇凤,女,2003-12-22,1.78,东10舍814
01034858,黄豪硕,男,2005-12-23,1.7,东19舍629
01034859,侯雅雯,女,2004-11-04,1.86,东7舍607
01034860,万新月,女,2003-02-25,1.76,东19舍910
01034861,赵玖桐,男,2005-12-02,1.72,东13舍108
01034862,贾永峰,男,2004-05-06,1.78,东3舍211
01034863,戴婧婧,女,2002-04-01,1.9,东18舍521
01034864,宋博,女,2002-07-08,1.66,东17舍529
01034865,张奕,女,2002-12-26,1.78,东8舍312
01034866,谢晨露,女,2005-02-25,1.77,东2舍101
01034867,贺奇琦,女,2002-05-18,1.83,东19舍318
01034868,戴腾跃,男,2002-01-15,1.89,东16舍912
01034869,张茜,女,2005-01-23,1.84,东9舍723
01034870,李济洲,男,2005-10-02,1.85,东13舍829
01034871,伊乐,女,2004-02-04,1.81,东6舍302
01034872,刘斌,女,2004-12-25,1.74,东5舍224
01034873,王璞珏,男,2004-06-11,1.73,东16舍632
01034874,石子金,男,2005-09-13,1.79,东17舍824
01034875,马小盼,女,2003-06-21,1.66,东18舍524
01034876,谢媛,女,2003-06-27,1.64,东7舍425
01034877,管利伟,男,2004-08-21,1.59,东5舍729
01034878,唐哲恒,男,2003-07-01,1.85,东7舍324
01034879,褚莹琦,女,2002-10-31,1.72,东11舍317
01034880,许成铭,男,2003-02-20,1.82,东18舍406
01034881,吴心雨,女,2005-10-03,1.67,东20舍622
01034882,曹秋琪,女,2002-02-21,1.75,东17舍426
01034883,汪士愉,男,2003-09-06,1.6,东5舍621
01034884,桑珍,女,2002-05-08,1.65,东14舍425
01034885,徐慧馨,女,2004-10-18,1.82,东2舍615
01034886,马宏志,男,2003-11-19,1.6,东12舍304
01034887,田丽丽,女,2003-10-21,1.76,东8舍915
01034888,段宇,男,2005-02-08,1.61,东5舍205
01034889,朱晓英,女,2002-08-16,1.88,东21舍517
01034890,林震岚,女,2002-05-24,1.68,东10舍833
01034891,何奇,男,2004-06-22,1.79,东18舍404
01034892,王琳,女,2002-10-12,1.64,东6舍233
01034893,付甜,女,2002-09-15,1.75,东13舍513
01034894,程瑞梅,女,2003-08-11,1.77,东2舍709
01034895,王华鑫,男,2003-10-20,1.62,东12舍429
01034896,席玮,女,2002-07-03,1.9,东10舍327
01034897,唐楚涵,女,2002-03-20,1.77,东19舍508
01034898,李丰,男,2004-11-28,1.77,东8舍501
01034899,符梦蝶,女,2005-04-24,1.6,东1舍402
01034900,高基来,男,2005-07-29,1.79,东18舍715
01034901,刘湘艺,女,2005-03-27,1.76,东9舍316
01034902,尹子文,女,2004-06-27,1.64,东16舍106
01034903,朱叶,女,2004-10-07,1.76,东21舍231
01034904,高川,男,2005-04-12,1.76,东5舍206
01034905,张泳,女,2002-09-28,1.71,东15舍733
01034906,张蕊,女,2004-10-21,1.75,东2舍627
01034907,霍少波,男,2003-07-21,1.64,东12舍119
01034908,战宇一,女,2005-09-29,1.79,东9舍507
01034909,张伟力,男,2004-02-20,1.87,东20舍314
01034910,侯闻迪,女,2005-08-03,1.66,东5舍517
01034911,许晏宁,女,2003-07-07,1.64,东20舍721
01034912,李昕宇,男,2002-02-04,1.6,东8舍419
01034913,杨宗豪,男,2002-02-21,1.82,东5舍912
01034914,毕泽雪,女,2004-03-15,1.7,东2舍524
01034915,邹钟毓,男,2003-02-12,1.75,东10舍725
